department_id,year,tech_stack,current_staff_count,yearly_cv_processed,share_seniors,active_projects_count,inbound_applications,avg_dev_salary,devs_hired,devs_fired,turnover_rate,tech_brand_rating,total_salary_budget
1000000,2020,Стадион,392,5847.0,4.591837000000000,231.0,1969.0,110277.7847230000,77,52,0.32908199999999999,0.6,51877245.0
1000000,2021,Стадион,445,6688.0,6.292135000000000,258.0,2415.0,123862.8718960000,119,47,0.37303399999999998,0.6,66162037.0
1000000,2022,Стадион,514,7503.0,7.198444000000000,291.0,2544.0,122932.6737660000,143,60,0.3949420000000000,0.6,75827728.0
1000000,2023,Стадион,587,8272.0,8.858603000000000,327.0,3426.0,123735.9072230000,103,63,0.282794000000000,0.8,87165251.0
1000000,2024,Стадион,632,9267.0,11.55063300000000,362.0,3318.0,141861.4339570000,91,96,0.2958860000000000,0.2,107592482.0
1000001,2020,Торговый_центр,441,7056.0,9.297052000000001,252.0,3565.0,145355.2421070000,80,24,0.23582800000000001,0.8,76925251.0
1000001,2021,Торговый_центр,510,7918.0,8.823529000000001,290.0,3904.0,134199.8781060000,95,55,0.29411799999999999,0.8,82128749.0
1000001,2022,Торговый_центр,571,8804.0,8.756567000000000,312.0,4005.0,124338.5454830000,82,60,0.2486870000000000,0.6,85200566.0
1000001,2023,Торговый_центр,588,9447.0,10.03401400000000,341.0,4558.0,148980.9679840000,72,65,0.23299300000000001,1.0,105117107.0
1000001,2024,Торговый_центр,637,10479.0,12.87284100000000,374.0,4863.0,166358.4678650000,135,86,0.3469390000000000,1.0,127163229.0
1000002,2020,Пляж,322,5945.0,16.14906800000000,222.0,2113.0,136123.8831730000,49,17,0.20496900000000001,0.6,52595842.0
1000002,2021,Пляж,362,6884.0,14.9171270000000,250.0,2888.0,141391.8780210000,43,18,0.1685080000000000,0.6,61421041.0
1000002,2022,Пляж,405,8234.0,14.5679010000000,282.0,4434.0,154946.0936960000,70,12,0.20246900000000001,0.6,75315375.0
1000002,2023,Пляж,526,9458.0,14.25855500000000,356.0,5167.0,148902.119817000,108,24,0.2509510000000000,0.6,93977682.0
1000002,2024,Пляж,586,10754.0,16.89419800000000,394.0,4711.0,161268.5816700000,78,43,0.20648500000000000,0.3,113407498.0
1000003,2020,Спальный_район,220,3532.0,25.0,131.0,1274.0,124923.8510140000,25,13,0.17272699999999999,0.6,32971833.0
1000003,2021,Спальный_район,222,3737.0,23.87387400000000,132.0,1275.0,129900.8958640000,6,21,0.12162199999999999,0.6,34603239.0
1000003,2022,Спальный_район,225,3901.0,23.11111100000000,135.0,1591.0,129715.8637480000,19,28,0.2088890000000000,0.8,35028728.0
1000003,2023,Спальный_район,222,3986.0,21.17117100000000,139.0,2038.0,138067.0517790000,26,18,0.1981980000000000,0.6,36781384.0
1000003,2024,Спальный_район,216,4080.0,21.75925900000000,142.0,1532.0,149897.9056570000,17,32,0.22685200000000000,0.6,38848148.0
1000004,2020,ЖД_станция,115,2017.0,12.17391300000000,71.0,,125786.6295180000,16,20,0.3130430000000000,0.0,17354978.0
1000004,2021,ЖД_станция,120,2235.0,13.33333300000000,73.0,0.0,129192.179389000,23,10,0.275,0.0,18607072.0
1000004,2022,ЖД_станция,132,2385.0,9.090909000000000,76.0,0.0,125387.3392050000,9,13,0.16666700000000001,0.0,19857703.0
1000004,2023,ЖД_станция,162,2525.0,7.407407000000000,81.0,0.0,138345.0688060000,19,17,0.2222220000000000,0.0,26895364.0
1000004,2024,ЖД_станция,165,2820.0,17.57575800000000,88.0,1408.0,152768.5729110000,28,15,0.2606060000000000,0.0,30248405.0
1000005,2020,Промзона,201,3637.0,22.38806000000000,129.0,1007.0,125409.630415000,26,28,0.26865699999999998,0.0,30245545.0
1000005,2021,Промзона,220,3979.0,22.27272700000000,136.0,1229.0,141751.9092730000,44,16,0.2727270000000000,0.3,37433224.0
1000005,2022,Промзона,239,4403.0,22.17573200000000,153.0,1479.0,125379.0841090000,32,25,0.2384940000000000,0.2,35961891.0
1000005,2023,Промзона,265,4838.0,25.28301900000000,165.0,1596.0,134545.4469440000,40,40,0.3018870000000000,0.3,42775326.0
1000005,2024,Промзона,292,5176.0,24.31506800000000,178.0,1596.0,140534.0610690000,62,41,0.3527400000000000,0.1,49244067.0
1000006,2020,Пляж,121,2686.0,28.92562000000000,85.0,,,12,,0.09917400000000000,0.1,
1000006,2021,Пляж,121,2723.0,30.57851200000000,85.0,0.0,,5,,0.04132200000000000,0.5,
1000006,2022,Пляж,121,2728.0,25.6198350000000,88.0,0.0,54999.11372600000,9,13,0.18181800000000001,0.2,7981909.0
1000006,2023,Пляж,121,2771.0,19.83471100000000,91.0,0.0,141892.3295230000,16,9,0.2066120000000000,0.6,20602193.0
1000006,2024,Пляж,115,2490.0,34.78260900000000,83.0,502.0,164944.2866440000,9,22,0.26956500000000000,0.2,22764836.0
1000007,2020,Учебное_заведение,65,1094.0,15.38461500000000,37.0,,,,,0.0,0.1,
1000007,2021,Учебное_заведение,67,1147.0,14.92537300000000,39.0,0.0,,4,,0.05970100000000000,0.2,
1000007,2022,Учебное_заведение,69,1205.0,14.49275400000000,42.0,0.0,47104.61127500000,9,6,0.21739100000000000,0.3,3898589.0
1000007,2023,Учебное_заведение,77,1352.0,11.68831200000000,46.0,0.0,122315.5029650000,26,12,0.4935060000000000,0.3,11299578.0
1000007,2024,Учебное_заведение,123,2104.0,15.44715400000000,79.0,1505.0,149620.7656450000,59,22,0.6585370000000000,0.3,22080758.0
1000008,2020,Стадион,151,2625.0,33.77483400000000,86.0,,,8,,0.052979999999999999,0.1,
1000008,2021,Стадион,147,3084.0,31.97278900000000,100.0,0.0,,9,,0.061224000000000001,0.5,
1000008,2022,Стадион,154,3122.0,27.27272700000000,100.0,0.0,46800.16815000000,18,3,0.13636400000000001,0.3,8642367.0
1000008,2023,Стадион,155,3068.0,25.16129000000000,101.0,0.0,138178.3960350000,7,13,0.12903200000000001,0.5,25705771.0
1000008,2024,Стадион,155,2661.0,31.61290300000000,94.0,712.0,136233.7078310000,6,22,0.18064500000000000,0.3,25350080.0
1000009,2020,Метро,124,2543.0,18.54838700000000,83.0,819.0,130698.6216440000,12,11,0.18548400000000001,0.0,19453117.0
1000009,2021,Метро,141,2720.0,17.73049600000000,87.0,1266.0,147308.5585400000,26,15,0.2907800000000000,0.2,24917011.0
1000009,2022,Метро,163,2979.0,14.7239260000000,94.0,1385.0,139600.6664460000,29,23,0.31901800000000002,0.1,27303469.0
